symbol_id,symbol,fiscal_date_ending,report_type,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,api_response_status,created_at,updated_at
6650,DSGX,2023-01-31,quarterly,USD,96087000.0,125141000.0,29054000.0,29054000.0,33595000.0,13075000.0,18229000.0,60022000.0,,-320000.0,,320000.0,,,,15923003.0,36085000.0,6335000.0,,29750000.0,,35864997.0,51788000.0,29750000.0,pass,2025-08-05 10:12:35.174853,2025-08-05 10:12:35.174853
19755,EACQ,,annual,,,,,,,,,,,,,,,,,,,,,,,,,,error,2025-08-05 10:00:05.365905,2025-08-05 10:00:05.365905
5784,CHCI,2016-03-31,quarterly,USD,970000.0,9706000.0,8736000.0,8736000.0,-1271000.0,1542000.0,0.0,2025000.0,,,,216000.0,,8000.0,,55000.0,-1263000.0,25000.0,,-1238000.0,,-1058000.0,-1003000.0,-1724000.0,pass,2025-08-05 11:00:50.842492,2025-08-05 11:00:50.842492
12176,PRE,2008-09-30,quarterly,USD,0.0,896575000.0,1071714000.0,1071714000.0,0.0,0.0,0.0,0.0,,,,11877000.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,pass,2025-08-04 23:53:00.563830,2025-08-04 23:53:00.563830
8312,AXR,2005-04-30,quarterly,USD,10455000.0,36152000.0,25697000.0,25697000.0,6634000.0,3821000.0,0.0,3821000.0,,,,120000.0,,,,1580000.0,6514000.0,1748000.0,,0.0,,6634000.0,8214000.0,4743000.0,pass,2025-08-05 00:02:35.342482,2025-08-05 00:02:35.342482
5327,TAP,2010-06-30,quarterly,USD,408500000.0,883300000.0,474800000.0,474800000.0,295100000.0,261200000.0,0.0,261200000.0,,,,25400000.0,,,,45000000.0,291100000.0,52200000.0,,0.0,,310900000.0,355900000.0,237200000.0,pass,2025-08-04 23:57:34.483616,2025-08-04 23:57:34.483616
4224,WPC,2020-09-30,quarterly,USD,271898000.0,302419000.0,30521000.0,30521000.0,139584000.0,23963000.0,,132314000.0,,-52537000.0,50817000.0,52537000.0,,67766000.0,,108351000.0,155409000.0,5975000.0,,149434000.0,,186417000.0,294768000.0,149397000.0,pass,2025-08-05 09:00:22.431273,2025-08-05 09:00:22.431273
598,OFLX,2014-12-31,quarterly,USD,14977000.0,24921000.0,9944000.0,9944000.0,6990000.0,3340000.0,795000.0,7987000.0,,,,15000.0,,-57000.0,,107000.0,6948000.0,2564000.0,,9512000.0,,6990000.0,7097000.0,4336000.0,pass,2025-08-05 09:59:26.177189,2025-08-05 09:59:26.177189
7763,AKTX,2014-12-31,quarterly,USD,102000.0,102000.0,0.0,0.0,-9362840.0,3485805.0,5877035.0,9362840.0,,,,7547.0,,,,6545.0,-8814258.0,-7547.0,,-1947553.0,,-8821805.0,-8815260.0,-8814258.0,pass,2025-08-05 11:21:48.052864,2025-08-05 11:21:48.052864
3988,VTMX,2020-03-31,quarterly,None,35195114.0,37712800.0,2517686.0,2517686.0,34915944.0,674782.0,,5164232.0,,,,9295627.0,,,,492404.0,25620317.0,50039343.0,,,,34915944.0,35408348.0,-24418739.0,pass,2025-08-05 08:42:46.110346,2025-08-05 08:42:46.110346
